date,adj_close
2014-11-17,95.533783
2014-11-18,96.097031
2014-11-19,95.851738
2014-11-20,96.124275
2014-11-21,96.633034
2014-11-24,96.987312
2014-11-25,96.969131
2014-11-26,97.187172
2014-11-28,96.841965
2014-12-01,96.024345
2014-12-02,96.623924
2014-12-03,97.05998199999999
2014-12-04,96.941895
2014-12-05,97.15992
2014-12-08,96.469482
2014-12-09,96.523987
2014-12-10,94.943275
2014-12-11,95.379349
2014-12-12,93.880386
2014-12-15,93.199013
2014-12-16,92.50859799999999
2014-12-17,94.489052
2014-12-18,96.723854
2014-12-19,97.123589
2014-12-22,97.508057
2014-12-23,97.727257
2014-12-24,97.754631
2014-12-26,98.04689
2014-12-29,98.256927
2014-12-30,97.772896
2014-12-31,96.80484799999999
2015-01-02,96.731804
2015-01-05,95.069672
2015-01-06,94.138153
2015-01-07,95.261452
2015-01-08,96.941841
2015-01-09,96.138184
2015-01-12,95.453239
2015-01-13,95.234055
2015-01-14,94.71350100000001
2015-01-15,93.754601
2015-01-16,94.99662
2015-01-20,95.13359799999999
2015-01-21,95.562843
2015-01-22,97.0149
2015-01-23,96.576546
2015-01-26,96.978363
2015-01-27,95.84594
2015-01-28,94.549126
2015-01-29,95.453239
2015-01-30,94.156418
2015-02-02,95.21579
2015-02-03,96.677002
2015-02-04,96.33908100000001
2015-02-05,97.39846800000001
2015-02-06,97.106239
2015-02-09,96.622208
2015-02-10,97.608513
2015-02-11,97.65418199999999
2015-02-12,98.594841
2015-02-13,99.06059300000001
2015-02-17,99.215858
2015-02-18,99.270645
2015-02-19,99.243248
2015-02-20,99.80034599999999
2015-02-23,99.791199
2015-02-24,100.019524
2015-02-25,99.982979
2015-02-26,99.919037
2015-02-27,99.562874
2015-03-02,100.174767
2015-03-03,99.763809
2015-03-04,99.361977
2015-03-05,99.51722
2015-03-06,98.138214
2015-03-09,98.50350999999999
2015-03-10,97.005775
2015-03-11,96.932716
2015-03-12,98.147346
2015-03-13,97.599388
2015-03-16,98.823128
2015-03-17,98.631371
